sl_no,is_code,description,download_link
1715,IS 9143:1979,Method for the determination of the unconfined compressive strength of rock materials,https://archive.org/download/gov.in.is.9143.1979/is.9143.1979.pdf
1716,IS 9179:1979,Method for the preparation of rock specimens for laboratory testing,https://archive.org/download/gov.in.is.9179.1979/is.9179.1979.pdf
1717,IS 9221:1979,Method for the determination of modulus of elasticity and Poisson’s ratio of rock materials in uniaxial compression,https://archive.org/download/gov.in.is.9221.1979/is.9221.1979.pdf
1718,IS 10050:1981,Method for the determination of the slake durability index of rocks,https://archive.org/download/gov.in.is.10050.1981/is.10050.1981.pdf
1719,IS 10082:1981,Method of test for the determination of tensile strength by indirect tests on rock specimens,https://archive.org/download/gov.in.is.10082.1981/is.10082.1981.pdf
1720,IS 10782:1983,Method for laboratory determination of dynamic modulus of rock core specimens,https://archive.org/download/gov.in.is.10782.1983/is.10782.1983.pdf
1721,IS 11309:1985,Method of conducting a pull-out test on anchor bars and rock bolts,https://archive.org/download/gov.in.is.11309.1985/is.11309.1985.pdf
1722,IS 11315-1:1987,"Method for the quantitative description of discontinuities in rock masses, Part 1: Orientation",https://archive.org/download/gov.in.is.11315.1.1987/is.11315.1.1987.pdf
1723,IS 11315-2:1987,"Method for the quantitative description of discontinuities in the rock mass, Part 2: Spacing",https://archive.org/download/gov.in.is.11315.2.1987/is.11315.2.1987.pdf
1724,IS 11315-3:1987,"Method for the quantitative description of discontinuities in the rock mass, Part 3: Persistence",https://archive.org/download/gov.in.is.11315.3.1987/is.11315.3.1987.pdf
1725,IS 11315-4:1987,"Method for the quantitative description of discontinuities in the rock mass, Part 4: Roughness",https://archive.org/download/gov.in.is.11315.4.1987/is.11315.4.1987.pdf
1726,IS 11315-5:1987,"Method for the quantitative description of discontinuities in rock masses, Part 5: Wall strength",https://archive.org/download/gov.in.is.11315.5.1987/is.11315.5.1987.pdf
1727,IS 11315-6:1987,"Method for the quantitative description of discontinuities in rock masses, Part 6: Aperture",https://archive.org/download/gov.in.is.11315.6.1987/is.11315.6.1987.pdf
1728,IS 11315-7:1987,"Method for the quantitative description of discontinuities in the rock mass, Part 7: Filling",https://archive.org/download/gov.in.is.11315.7.1987/is.11315.7.1987.pdf
1729,IS 11315-8:1987,"Method for the quantitative description of discontinuities in the rock mass, Part 8: Seepage",https://archive.org/download/gov.in.is.11315.8.1987/is.11315.8.1987.pdf
1730,IS 11315-9:1987,"Method for the quantitative description of discontinuities in the rock mass, Part 9: Number of sets",https://archive.org/download/gov.in.is.11315.9.1987/is.11315.9.1987.pdf
1731,IS 11315-10:1987,"Method for the quantitative description of discontinuities in rock masses, Part 10: Block size",https://archive.org/download/gov.in.is.11315.10.1987/is.11315.10.1987.pdf
812,IS 1121-1:1974,"Methods of test for determination of strength properties of natural building stones, Part I: Compressive strength",https://archive.org/download/gov.in.is.1121.1.1974/is.1121.1.1974.pdf
813,IS 1121-2:1974,"Methods of Test for Determination of Strength Properties of Natural Building Stones, Part II: Transverse Strength",https://archive.org/download/gov.in.is.1121.2.1974/is.1121.2.1974.pdf
814,IS 1121-3:1974,"Methods of Test for Determination of Strength Properties of Natural Building Stones, Part III: Tensile Strength",https://archive.org/download/gov.in.is.1121.3.1974/is.1121.3.1974.pdf
815,IS 1121-4:1974,"Methods of test for determination of strength properties of natural building stones, Part IV: Shear strength",https://archive.org/download/gov.in.is.1121.4.1974/is.1121.4.1974.pdf
816,IS 1122:1974,Method of test for the determination of true specific gravity of natural building stones,https://archive.org/download/gov.in.is.1122.1974/is.1122.1974.pdf
817,IS 1123:1975,Method of identification of natural building stones,https://archive.org/download/gov.in.is.1123.1975/is.1123.1975.pdf
818,IS 1124:1974,"Method of test for determination of water absorption, apparent specific gravity and porosity of natural building stones",https://archive.org/download/gov.in.is.1124.1974/is.1124.1974.pdf
819,IS 1125:1974,Method of test for the determination of weathering of natural building stones,https://archive.org/download/gov.in.is.1125.1974/is.1125.1974.pdf
820,IS 1126:1974,Method of test for the determination of the durability of natural building stones,https://archive.org/download/gov.in.is.1126.1974/is.1126.1974.pdf
821,IS 1127:1970,Recommendations for dimensions and workmanship of natural building stones for masonry work,https://archive.org/download/gov.in.is.1127.1970/is.1127.1970.pdf
822,IS 1128:1974,Limestone (Slab and Tiles),https://archive.org/download/gov.in.is.1128.1974/is.1128.1974.pdf
823,IS 1129:1972,Recommendation of dressing natural building stones,https://archive.org/download/gov.in.is.1129.1972/is.1129.1972.pdf
824,IS 1130:1969,"marble (blocks, slabs and tiles)",https://archive.org/download/gov.in.is.1130.1969/is.1130.1969.pdf
825,IS 1706:1972,Method for the determination of resistance to wear by abrasion of natural building stones,https://archive.org/download/gov.in.is.1706.1972/is.1706.1972.pdf
826,IS 1805:1973,"Glossary of terms relating to stones, quarrying and dressing",https://archive.org/download/gov.in.is.1805.1973/is.1805.1973.pdf
827,IS 3316:1974,structural granite,https://archive.org/download/gov.in.is.3316.1974/is.3316.1974.pdf
828,IS 3620:1979,laterite stone block for masonry,https://archive.org/download/gov.in.is.3620.1979/is.3620.1979.pdf
829,IS 3622:1977,sandstone (slabs and tiles),https://archive.org/download/gov.in.is.3622.1977/is.3622.1977.pdf
830,IS 4121:1967,Method of test for the determination of water transmission rate by capillary action through natural building stones,https://archive.org/download/gov.in.is.4121.1967/is.4121.1967.pdf
830,IS 4122:1967,Method of test for surface softening of natural building stones by exposure to acidic atmospheres,https://archive.org/download/gov.in.is.4122.1967/is.4122.1967.pdf
667,IS 651:2007,Glazed Stoneware Pipe and Fittings,https://archive.org/download/gov.in.is.651.2007/is.651.2007.pdf
668,IS 771-1:1979,Glazed Fire-Clay Sanitary Appliances: Part-1 General Requirements,https://archive.org/download/gov.in.is.771.1.1979/is.771.1.1979.pdf
669,IS 771-3-1 :1979,Glazed Fire-Clay Sanitary Appliances: Part-2 Specific Requirements of Kitchen And Laboratory Sinks,https://archive.org/download/gov.in.is.771.3.1.1979/is.771.3.1.1979.pdf
670,IS 771-3-1 :1979,"Glazed Fire Clay Sanitary Appliances: Part-3 Specific Requirements of Urinals, Section 1: Slab Urinals",https://archive.org/download/gov.in.is.771.3.1.1979/is.771.3.1.1979.pdf
671,IS 771-3-2 :1985,"Glazed Fire-Clay Sanitary Appliances, Part 3: Specific Requirements of Urinals: Section 2 Stall Urinals",https://archive.org/download/gov.in.is.771.3.2.1985/is.771.3.2.1985.pdf
672,IS 771-4:1979,"Glazed Fire-Clay Sanitary Appliances, Part 4: Specific Requirements of Postmortem Slabs",https://archive.org/download/gov.in.is.771.4.1979/is.771.4.1979.pdf
673,IS 771-5:1979,"Glazed Fire-clay Sanitary Appliances, Part V: Specific Requirements of Shower Trays",https://archive.org/download/gov.in.is.771.5.1979/is.771.5.1979.pdf
674,IS 771-6:1979,"Glazed Fire-clay Sanitary Appliances, Part VI: Specific Requirements of Bed Pan Sinks",https://archive.org/download/gov.in.is.771.6.1979/is.771.6.1979.pdf
675,IS 771-7:1981,"Glazed Fire-Clay Sanitary Appliances, Part 7: Specific Requirements of Slop Sinks",https://archive.org/download/gov.in.is.771.7.1981/is.771.7.1981.pdf
676,IS 772:1973,General Requirements for Enamelled Cast Iron Sanitary Appliances,https://archive.org/download/gov.in.is.772.1973/is.772.1973.pdf
677,IS 774:2004,Flushing Cistern for Water Closets and Urinals (Other Than Plastic Cisterns),https://archive.org/download/gov.in.is.774.2004/is.774.2004.pdf
678,IS 778:1984,"Copper Alloy Gate, Globe and Check Valves for Waterworks Purposes",https://archive.org/download/gov.in.is.778.1984/is.778.1984.pdf
679,IS 779:1994,Water Meters (Domestic Type),https://archive.org/download/gov.in.is.779.1994/is.779.1994.pdf
680,IS 781:1984,Cast Copper Alloy Screw Down Bib Taps And Stop Valves for Water Services,https://archive.org/download/gov.in.is.781.1984/is.781.1984.pdf
681,IS 782:1978,Specification for Caulking Lead,https://archive.org/download/gov.in.is.782.1978/is.782.1978.pdf
682,IS 1701:1960,mixing valves for ablutionary and domestic purposes,https://archive.org/download/gov.in.is.1701.1960/is.1701.1960.pdf
683,IS 1703:2000,Water Fittings – Copper Alloy Float Valves (Horizontal Plunger Type),https://archive.org/download/gov.in.is.1703.2000/is.1703.2000.pdf
684,IS 1711:1984,self-closing taps for water supply purposes,https://archive.org/download/gov.in.is.1711.1984/is.1711.1984.pdf
685,IS 1726:1991,cast iron manhole covers and frames,https://archive.org/download/gov.in.is.1726.1991/is.1726.1991.pdf
686,IS 1795:1982,Pillar Taps for Water Supply Purposes,https://archive.org/download/gov.in.is.1795.1982/is.1795.1982.pdf
1496,IS 1893-1:2002,"Criteria for Earthquake Resistant Design of Structures, Part 1: General Provisions and Buildings",https://archive.org/download/gov.in.is.1893.1.2002/is.1893.1.2002.pdf
1497,IS 1893-4:2005,"Criteria for earthquake-resistant design of the structure, Part 4: Industrial structures, stack-like structures )",https://archive.org/download/gov.in.is.1893.4.2005/is.1893.4.2005.pdf
1498,IS 1893:1984,Criteria for earthquake-resistant design of structures,https://archive.org/download/gov.in.is.1893.1984/is.1893.1984.pdf
1499,IS 4326:1993,Code of practice for earthquake-resistant design andconstruction of buildings,https://archive.org/download/gov.in.is.4326.1993/is.4326.1993.pdf
1500,IS 4967:1968,Recommendations for seismic instrumentation for river valley projects,https://archive.org/download/gov.in.is.4967.1968/is.4967.1968.pdf
1501,IS 4991:1968,Criteria for blast-resistant design of structures for explosions above ground,https://archive.org/download/gov.in.is.4991.1968/is.4991.1968.pdf
1502,IS 6922:1973,Criteria for safety and design of structures subject to underground blasts,https://archive.org/download/gov.in.is.6922.1973/is.6922.1973.pdf
1503,IS 13827:1993,Improving earthquake resistance of earthen buildings – Guidelines,https://archive.org/download/gov.in.is.13827.1993/is.13827.1993.pdf
1504,IS 13828:1993,Improving earthquake resistance of low-strength masonry buildings – Guidelines,https://archive.org/download/gov.in.is.13828.1993/is.13828.1993.pdf
1505,IS 13920:1993,Ductile detailing of reinforced concrete structures subjected to seismic forces – Code of practice,https://archive.org/download/gov.in.is.13920.1993/is.13920.1993.pdf
1506,IS 13935:2009,"Seismic Evaluation, Repair and Strengthening of Masonry Buildings – Guidelines",https://archive.org/download/gov.in.is.13935.2009/is.13935.2009.pdf
1507,IS 15988:2013,Seismic Evaluation and Strengthening of Existing Reinforced Concrete Buildings – Guidelines,https://archive.org/download/gov.in.is.15988.2013/is.15988.2013.pdf
1666,IS 1200-1:1992,"Methods of measurement of building and civil engineering works, Part 1: Earthwork",https://archive.org/download/gov.in.is.1200.1.1992/is.1200.1.1992.pdf
1667,IS 1200-2:1974,"Method of measurement of building and civil engineering works, Part 2: concrete works",https://archive.org/download/gov.in.is.1200.2.1974/is.1200.2.1974.pdf
1668,IS 1200-3:1976,"Method of Measurement of Building and Civil Engineering Works, Part III: Brickwork",https://archive.org/download/gov.in.is.1200.3.1976/is.1200.3.1976.pdf
1669,IS 1200-4:1976,"Method of measurement of building and civil engineering works, Part 4: stone masonry",https://archive.org/download/gov.in.is.1200.4.1976/is.1200.4.1976.pdf
1670,IS 1200-5:1982,"Method of measurement of building and civil engineering works, Part 5: formwork",https://archive.org/download/gov.in.is.1200.5.1982/is.1200.5.1982.pdf
1671,IS 1200-6:1974,"Method of measurement of building and civil engineering works, Part 6: refractory work",https://archive.org/download/gov.in.is.1200.6.1974/is.1200.6.1974.pdf
1672,IS 1200-7:1972,"Method of measurement of building and civil engineering works, Part 7: Hardware",https://archive.org/download/gov.in.is.1200.7.1972/is.1200.7.1972.pdf
1673,IS 1200-8:1993,"Method of measurement of building and civil engineering works, Part 8: steelwork and ironwork",https://archive.org/download/gov.in.is.1200.8.1993/is.1200.8.1993.pdf
1674,IS 1200-9:1973,"Method of measurement of building and civil engineering works, Part 9: roof covering (including cladding)",https://archive.org/download/gov.in.is.1200.9.1973/is.1200.9.1973.pdf
1675,IS 1200-10:1973,"Method of measurement of building and civil engineering works, Part 10: ceiling and linings",https://archive.org/download/gov.in.is.1200.10.1973/is.1200.10.1973.pdf
1676,IS 1200-11:1977,"Method of measurement of building and civil engineering works: Part11 paving, floor finishes, dado and skirting",https://archive.org/download/gov.in.is.1200.11.1977/is.1200.11.1977.pdf
1677,IS 1200-12:1976,"Method of Measurement of Building and Civil Engineering Works, Part XII: Plastering and Pointing",https://archive.org/download/gov.in.is.1200.12.1976/is.1200.12.1976.pdf
1678,IS 1200-13:1994,"Method of measurement of building and civil engineering works, Part 13: Whitewashing, colour washing, distempering and painting building surfaces",https://archive.org/download/gov.in.is.1200.13.1994/is.1200.13.1994.pdf
1679,IS 1200-14:1984,"Method of measurement of building and civil engineering works, Part 14: glazing",https://archive.org/download/gov.in.is.1200.14.1984/is.1200.14.1984.pdf
1680,IS 1200-15:1987,"Method of measurement of building and civil engineering works, Part 15: painting, polishing, varnishing, etc",https://archive.org/download/gov.in.is.1200.15.1987/is.1200.15.1987.pdf
1681,IS 1200-16:1979,"Method of measurement of building and civil engineering works, Part 16: laying of water and sewer lines including appurtenant items",https://archive.org/download/gov.in.is.1200.16.1979/is.1200.16.1979.pdf
1682,IS 1200-18:1974,"Method of measurement of building and civil engineering works, Part 18: demolition and dismantling",https://archive.org/download/gov.in.is.1200.18.1974/is.1200.18.1974.pdf
1683,IS 1200-19:1981,"Method of Measurement of Building and Civil Engineering Works, Part XIX: Water Supply, Plumbing and Drains",https://archive.org/download/gov.in.is.1200.19.1981/is.1200.19.1981.pdf
1684,IS 1200-20:1981,"Method of measurement of building and civil engineering works, Part 20: laying of gas and oil pipelines",https://archive.org/download/gov.in.is.1200.20.1981/is.1200.20.1981.pdf
1685,IS 1200-21:1973,"Method of measurement of building and civil engineering works, Part 21: woodwork and joinery",https://archive.org/download/gov.in.is.1200.21.1973/is.1200.21.1973.pdf
01,IS: 269: 1989,"Ordinary  Portland Cement, 33 grade- specification",https://archive.org/download/gov.in.is.269.2013/is.269.2013.pdf
02,IS 8112:1989,"Ordinary Portland  Cement, 43 grade- specification",https://law.resource.org/pub/in/bis/S03/is.8112.1989.pdf
03,IS 12269:1987,"Ordinary Portland Cement, 53 grade- specification",https://archive.org/download/gov.in.is.12269.1987/is.12269.1987.pdf
04,IS 8041:1990,Rapid hardening Portland cement – Specification,https://law.resource.org/pub/in/bis/S03/is.8041.1990.pdf
05,IS 12330:1988,Sulphate-resisting Portland – Specification,https://law.resource.org/pub/in/bis/S03/is.12330.1988.pdf
06,IS – 455:1989,Portland Slag Cement – Specification,https://law.resource.org/pub/in/bis/S03/is.455.1989.pdf
07,IS 6909:1990,Super sulphated cement – Specification,https://law.resource.org/pub/in/bis/S03/is.6909.1990.pdf
08,IS 12600:1989,Low-heat Portland cement – Specification,https://law.resource.org/pub/in/bis/S03/is.12600.1989.pdf
09,IS: 1489-1:1991,Portland pozzolana cement Part 1 (Flyash based) – Specification,https://law.resource.org/pub/in/bis/S03/is.1489.1.1991.pdf
10,IS: 1489-2:1991,Portland pozzolana cement (calcined clay-based) – Specification,https://archive.org/download/gov.in.is.1489.2.1991/is.1489.2.1991.pdf
11,IS 8042:1989,White Portland cement – Specification,
12,IS 8043:1991,Hydrophobic Portland cement – Specification,https://law.resource.org/pub/in/bis/S03/is.8043.1991.pdf
13,IS 3466:1988,Masonry cement – Specification,https://law.resource.org/pub/in/bis/S03/is.3466.1988.pdf
14,IS 8229:1986,Oil-well cement – Specification,https://law.resource.org/pub/in/bis/S03/is.8229.1986.pdf
15,IS 6452:1989,High alumina cement for structural use – Specification,https://law.resource.org/pub/in/bis/S03/is.6452.b.1989.pdf
16,IS 650:1991,Specification for Standard Sand for Testing of Cement,https://archive.org/download/gov.in.is.650.1991/is.650.1991.pdf
17,IS 2645:2003,Integral Waterproofing Compounds for Cement Mortar and Concrete -Specification,https://archive.org/download/gov.in.is.2645.2003/is.2645.2003.pdf
18,IS 3085:1965,Method of Test for Permeability of Cement Mortar and Concrete,https://archive.org/download/gov.in.is.3085.1965/is.3085.1965.pdf
19,IS 3535:1986,Methods of sampling hydraulic cement,https://archive.org/download/gov.in.is.3535.1986/is.3535.1986.pdf
20,IS 3812-1:2013,"Specification for Pulverized Fuel Ash, Part 1: For Use as Pozzolana in Cement, Cement Mortar and Concrete",https://archive.org/download/gov.in.is.3812.1.2013/is.3812.1.2013.pdf
21,IS 3812-2:2013,"Specification for Pulverised Fuel Ash, Part 2: For Use as Admixture in Cement Mortar and Concrete",https://archive.org/download/gov.in.is.3812.2.2013/is.3812.2.2013.pdf
22,IS 4031-1:1996,"Methods of physical tests for hydraulic cement, Part 1: Determination of fineness by dry sieving",https://archive.org/download/gov.in.is.4031.1.1996/is.4031.1.1996.pdf
23,IS 4031-2:1996,"Methods of physical tests for hydraulic cement, Part 2: Determination of fineness by specific surface by the Blaine air permeability method",https://archive.org/download/gov.in.is.4031.2.1999/is.4031.2.1999.pdf
24,IS 4031-3:1988,"Methods of physical tests for hydraulic cement, Part 3: Determination of soundness",https://archive.org/download/gov.in.is.4031.3.1988/is.4031.3.1988.pdf
25,IS 4031-4:1988,"Methods of physical tests for hydraulic cement, Part 4: Determination of consistency of standard cement paste",https://archive.org/download/gov.in.is.4031.4.1988/is.4031.4.1988.pdf
26,IS 4031-5:1988,"Methods of physical tests for hydraulic cement, Part 5: Determination of initial and final setting times",https://archive.org/download/gov.in.is.4031.5.1988/is.4031.5.1988.pdf
27,IS 4031-6:1988,"Methods of physical tests for hydraulic cement, Part 6: Determination of compressive strength of hydraulic cement (other than masonry cement)",https://archive.org/download/gov.in.is.4031.6.1988/is.4031.6.1988.pdf
28,IS 4031-7:1988,"Methods of physical tests for hydraulic cement, Part 7: Determination of compressive strength of masonry cement",https://archive.org/download/gov.in.is.4031.7.1988/is.4031.7.1988.pdf
29,IS 4031-8:1988,"Methods of physical tests for hydraulic cement, Part 8: Determination of transverse and compressive strength of plastic mortar using a prism",https://archive.org/download/gov.in.is.4031.8.1988/is.4031.8.1988.pdf
30,IS 4031-9:1988,"Methods of physical tests for hydraulic cement, Part 9: Determination of heat of hydration",https://archive.org/download/gov.in.is.4031.9.1988/is.4031.9.1988.pdf
31,IS 4031-10:1988,"Methods of physical tests for hydraulic cement, Part 10: Determination of drying shrinkage",https://archive.org/download/gov.in.is.4031.10.1988/is.4031.10.1988.pdf
32,IS 4031-11:1988,"Methods of physical tests for hydraulic cement, Part 11: Determination of density",https://archive.org/download/gov.in.is.4031.11.1988/is.4031.11.1988.pdf
33,IS 4031-12:1988,"Methods of physical tests for hydraulic cement, Part 12: Determination of air content of hydraulic cement mortar",https://archive.org/download/gov.in.is.4031.12.1988/is.4031.12.1988.pdf
34,IS 4031-13:1988,"Methods of Physical Tests for Hydraulic Cement, Part 13: Measurement of Water Retentivity of Masonry Cement",https://archive.org/download/gov.in.is.4031.13.1988/is.4031.13.1988.pdf
35,IS 4031-14:1989,"Methods of physical test for hydraulic cement, Part 14: Determination of false set",https://archive.org/download/gov.in.is.4031.14.1989/is.4031.14.1989.pdf
36,IS 4031-15:1991,"Methods of physical test for hydraulic cement, Part 15: Determination of fineness by wet sieving",https://archive.org/download/gov.in.is.4031.15.1991/is.4031.15.1991.pdf
37,IS 4032:1985,Method of chemical analysis of hydraulic cement,https://archive.org/download/gov.in.is.4032.1985/is.4032.1985.pdf
38,IS 4845:1968,Definitions and terminology relating to hydraulic cement,https://archive.org/download/gov.in.is.4845.1968/is.4845.1968.pdf
39,IS 5512:1983,Specification for flow table for use in tests of hydraulic cement and pozzolanic materials,https://archive.org/download/gov.in.is.5512.1983/is.5512.1983.pdf
40,IS 8125:1976,"Dimensions and materials of cement rotary kilns, components and auxiliaries (dry process with suspension preheater)",https://archive.org/download/gov.in.is.8125.1976/is.8125.1976.pdf
41,IS 10078:1982,Specification for the jolting apparatus for testing cement,https://archive.org/download/gov.in.is.10078.1982/is.10078.1982.pdf
42,IS 10080:1982,Specification for vibration machine for standard cement mortar cubes,https://archive.org/download/gov.in.is.10080.1982/is.10080.1982.pdf
43,IS 10850:1984,Specification for apparatus for measurement of water retentivity of masonry cement,https://archive.org/download/gov.in.is.10850.1984/is.10850.1984.pdf
44,IS 10890:1984,Specification for the planetary mixer used in tests of cement and pozzolana,https://archive.org/download/gov.in.is.10890.1984/is.10890.1984.pdf
45,IS 11262:1985,Specification for a calorimeter for the determination of the heat of hydration of hydraulic cement,https://archive.org/download/gov.in.is.11262.1985/is.11262.1985.pdf
46,IS 11263:1985,Specification for cylinder measures for the determination of the air content of hydraulic cement mortar,https://archive.org/download/gov.in.is.11263.1985/is.11263.1985.pdf
47,IS 12089:1987,Specification for granulated slag for the manufacture of Portland slag cement,https://archive.org/download/gov.in.is.12089.1987/is.12089.1987.pdf
48,IS 12423:1988,Method for colourimetric analysis of hydraulic cement,https://archive.org/download/gov.in.is.12423.1988/is.12423.1988.pdf
49,IS 12803:1989,Methods of analysis of hydraulic cement by X-ray fluorescence spectrometer,https://archive.org/download/gov.in.is.12803.1989/is.12803.1989.pdf
50,IS 12813:1989,Method of analysis of hydraulic cement by atomic absorption spectrophotometer,https://archive.org/download/gov.in.is.12813.1989/is.12813.1989.pdf
51,IS 383:1970,Specification for Coarse and Fine Aggregates From Natural Sources For Concrete,https://archive.org/download/gov.in.is.383.1970/is.383.1970.pdf
52,IS 383:2016,Coarse and Fine Aggregate for Concrete – Specification,https://archive.org/download/gov.in.is.383.2016/is.383.2016.pdf
53,IS 456:2000,Plain and Reinforced Concrete – Code of Practice,https://archive.org/download/gov.in.is.456.2000/is.456.2000.pdf
54,IS 457:1957,Code of Practice for General Construction of Plain and ReinforcedConcretefor Dams and Other Massive Structures,https://archive.org/download/gov.in.is.457.1957/is.457.1957.pdf
55,IS 516:1959,Method of Tests for Strength of Concrete,https://archive.org/download/gov.in.is.516.1959/is.516.1959.pdf
56,IS 1119:1959,Methods of sampling and analysis ofconcrete,https://archive.org/download/gov.in.is.1199.1959/is.1199.1959.pdf
57,IS 1343:1980,Code of Practice for Prestressed Concrete,https://archive.org/download/gov.in.is.1343.1980/is.1343.1980.pdf
58,IS 2386-1:1963,"Methods of Test for Aggregates for Concrete, Part I: Particle Size and Shape",https://archive.org/download/gov.in.is.2386.1.1963/is.2386.1.1963.pdf
59,IS 2386-2:1963,"Methods of test for aggregates for concrete, Part 2: Estimation of harmful materials and organic impurities",https://archive.org/download/gov.in.is.2386.2.1963/is.2386.2.1963.pdf
60,IS 2386-3:1963,"Methods of test for aggregates for concrete, Part 3: Specific gravity, density, voids, absorption and bulking",https://archive.org/download/gov.in.is.2386.3.1963/is.2386.3.1963.pdf
60,IS 2386-4:1963,"Methods of test for aggregates for concrete, Part 4: Mechanical properties",https://archive.org/download/gov.in.is.2386.4.1963/is.2386.4.1963.pdf
62,IS 2386-5:1963,"Methods of Test for Aggregates for Concrete, Part V: Soundness",https://archive.org/download/gov.in.is.2386.5.1963/is.2386.5.1963.pdf
63,IS 2386-6:1963,"Methods of test for aggregates for concrete, Part 6: Measuring mortar-making properties of fine aggregates",https://archive.org/download/gov.in.is.2386.6.1963/is.2386.6.1963.pdf
64,IS 2386-7:1963,"Methods of Test for Aggregates for Concrete, Part VII: Alkali Aggregate Reactivity",https://archive.org/download/gov.in.is.2386.7.1963/is.2386.7.1963.pdf
65,IS 2386-8:1963,"Methods of Test for Aggregates for Concrete, Part VIII: Petrographic Examination",https://archive.org/download/gov.in.is.2386.8.1963/is.2386.8.1963.pdf
66,IS 2430:1986,Methods for Sampling of Aggregates for Concrete,https://archive.org/download/gov.in.is.2430.1986/is.2430.1986.pdf
67,IS 2502:1963,Code of Practice for Bending and Fixing of Bars for Concrete Reinforcement,https://archive.org/download/gov.in.is.2502.1963/is.2502.1963.pdf
68,IS 2645:2003,Integral Waterproofing Compounds forCementMortar and Concrete -Specification,https://archive.org/download/gov.in.is.2645.2003/is.2645.2003.pdf
69,IS 2770-1:1967,"Methods of testing bond in reinforced concrete, Part 1: Pull-out test",https://archive.org/download/gov.in.is.2770.1.1967/is.2770.1.1967.pdf
70,IS 3085:1965,Method of Test for Permeability of Cement Mortar and Concrete,https://archive.org/download/gov.in.is.3085.1965/is.3085.1965.pdf
71,IS 3370-1:2009,"Code of practice Concrete structures for the storage of liquids, Part 1: General requirements",https://archive.org/download/gov.in.is.3370.1.2009/is.3370.1.2009.pdf
72,IS 3370-2:2009,"Code of Practice Concrete structures for the storage of liquids, Part 2: Reinforced concrete structures",https://archive.org/download/gov.in.is.3370.2.2009/is.3370.2.2009.pdf
73,IS 3370-3:2009,"Code of Practice Concrete structures for the storage of liquids, Part 3: Prestressed concrete structures",https://archive.org/download/gov.in.is.3370.3.1967/is.3370.3.1967.pdf
74,IS 3370-4:2009,"Code of practice for concrete structures for the storage of liquids, Part 4: Design tables",https://archive.org/download/gov.in.is.3370.4.1967/is.3370.4.1967.pdf
75,IS 3558:1983,Code of practice for the use of immersion vibrators for consolidating concrete,https://archive.org/download/gov.in.is.3558.1983/is.3558.1983.pdf
76,IS 3812-1:2003,"Specification for Pulverised Fuel Ash, Part 1: For Use as Pozzolana in Cement, Cement Mortar and Concrete",https://archive.org/download/gov.in.is.3812.1.2003/is.3812.1.2003.pdf
77,IS 3812-1:2013,"Specification for Pulverised Fuel Ash, Part 1: For Use as Pozzolana in Cement, Cement Mortar and Concrete",https://archive.org/download/gov.in.is.3812.1.2013/is.3812.1.2013.pdf
78,IS 3812-2:2003,"Specification for Pulverised Fuel Ash, Part 2: For Use as Admixture in Cement Mortar and Concrete",https://archive.org/download/gov.in.is.3812.2.2003/is.3812.2.2003.pdf
79,IS 3812-2:2013,"Specification for Pulverised Fuel Ash, Part 2: For Use as Admixture in Cement Mortar and Concrete",https://archive.org/download/gov.in.is.3812.2.2013/is.3812.2.2013.pdf
80,IS 4634:1991,Methods for testing the performance of batch-type concrete mixers,https://archive.org/download/gov.in.is.4634.1991/is.4634.1991.pdf
81,IS 4926:2003,Code of Practice Ready-Mixed Concrete,https://archive.org/download/gov.in.is.4926.2003/is.4926.2003.pdf
82,IS 5525:1969,Recommendations for detailing reinforcement in reinforced concrete works,https://archive.org/download/gov.in.is.5525.1969/is.5525.1969.pdf
83,IS 5816:1999,Method of Test Splitting Tensile Strength of Concrete,https://www.iitk.ac.in/ce/test/IS-codes/is.5816.1999.pdf
84,IS 6461-1:1972,"Glossary of terms relating to cement concrete, Part I: Concrete aggregates",https://archive.org/download/gov.in.is.6461.1.1972/is.6461.1.1972.pdf
85,IS 6461-2:1972,"Glossary of terms relating to cement concrete, Part II: Materials (Other than Cement and Aggregate)",https://archive.org/download/gov.in.is.6461.2.1972/is.6461.2.1972.pdf
86,IS 6461-3:1972,"Glossary of terms relating to cement concrete, Part III: concrete reinforcement",https://archive.org/download/gov.in.is.6461.3.1972/is.6461.3.1972.pdf
87,IS 6461-4:1972,"Glossary of terms relating to cement concrete, Part 4: Types of Concrete",https://archive.org/download/gov.in.is.6461.4.1972/is.6461.4.1972.pdf
88,IS 6461-5:1972,"Glossary of terms relating to cement concrete, Part 5: Formwork for concrete",https://archive.org/download/gov.in.is.6461.5.1972/is.6461.5.1972.pdf
89,IS 6461-6:1972,"Glossary of terms relating to cement concrete, Part 6: Equipment, tools and plant",https://archive.org/download/gov.in.is.6461.6.1972/is.6461.6.1972.pdf
90,IS 6461-7:1973,"Glossary of Terms Relating to Cement Concrete, Part 7: Mixing, Laying, Compaction, Curing and Other Construction Aspects",https://archive.org/download/gov.in.is.6461.7.1973/is.6461.7.1973.pdf
91,IS 6461-8:1973,"Glossary of terms relating to cement concrete, Part 8: Properties of concrete",https://archive.org/download/gov.in.is.6461.8.1973/is.6461.8.1973.pdf
92,IS 6461-9:1973,"Glossary of terms relating to cement concrete, Part 9: Structural aspects",https://archive.org/download/gov.in.is.6461.9.1973/is.6461.9.1973.pdf
